Domaine,Zone,Élément,Produit,Année,Valeur
"Nouveaux Bilans Alimentaire","Afghanistan","Production","Blé et produits","2017","4281"
"Nouveaux Bilans Alimentaire","Afghanistan","Importations - Quantité","Blé et produits","2017","3080"
"Nouveaux Bilans Alimentaire","Afghanistan","Variation de stock","Blé et produits","2017","32"
"Nouveaux Bilans Alimentaire","Afghanistan","Exportations - Quantité","Blé et produits","2017","2"
"Nouveaux Bilans Alimentaire","Afghanistan","Disponibilité intérieure","Blé et produits","2017","7326"
"Nouveaux Bilans Alimentaire","Afghanistan","Aliments pour animaux","Blé et produits","2017","491"
"Nouveaux Bilans Alimentaire","Afghanistan","Semences","Blé et produits","2017","344"
"Nouveaux Bilans Alimentaire","Afghanistan","Pertes","Blé et produits","2017","642"
"Nouveaux Bilans Alimentaire","Afghanistan","Nourriture","Blé et produits","2017","5749"
"Nouveaux Bilans Alimentaire","Afghanistan","Disponibilité alimentaire en quantité (kg/personne/an)","Blé et produits","2017","158.38"
"Nouveaux Bilans Alimentaire","Afghanistan","Disponibilité alimentaire (Kcal/personne/jour)","Blé et produits","2017","1358"
"Nouveaux Bilans Alimentaire","Afghanistan","Disponibilité de protéines en quantité (g/personne/jour)","Blé et produits","2017","36.53"
"Nouveaux Bilans Alimentaire","Afghanistan","Disponibilité de matière grasse en quantité (g/personne/jour)","Blé et produits","2017","4.93"
"Nouveaux Bilans Alimentaire","Afghanistan","Production","Riz et produits","2017","338"
"Nouveaux Bilans Alimentaire","Afghanistan","Importations - Quantité","Riz et produits","2017","495"
"Nouveaux Bilans Alimentaire","Afghanistan","Variation de stock","Riz et produits","2017","152"
"Nouveaux Bilans Alimentaire","Afghanistan","Exportations - Quantité","Riz et produits","2017","0"
"Nouveaux Bilans Alimentaire","Afghanistan","Disponibilité intérieure","Riz et produits","2017","681"
"Nouveaux Bilans Alimentaire","Afghanistan","Aliments pour animaux","Riz et produits","2017","0"
"Nouveaux Bilans Alimentaire","Afghanistan","Semences","Riz et produits","2017","11"
"Nouveaux Bilans Alimentaire","Afghanistan","Pertes","Riz et produits","2017","24"
"Nouveaux Bilans Alimentaire","Afghanistan","Nourriture","Riz et produits","2017","646"
"Nouveaux Bilans Alimentaire","Afghanistan","Disponibilité alimentaire en quantité (kg/personne/an)","Riz et produits","2017","17.8"
"Nouveaux Bilans Alimentaire","Afghanistan","Disponibilité alimentaire (Kcal/personne/jour)","Riz et produits","2017","123"
"Nouveaux Bilans Alimentaire","Afghanistan","Disponibilité de protéines en quantité (g/personne/jour)","Riz et produits","2017","2.38"
"Nouveaux Bilans Alimentaire","Afghanistan","Disponibilité de matière grasse en quantité (g/personne/jour)","Riz et produits","2017","0.28"
"Nouveaux Bilans Alimentaire","Afghanistan","Production","Orge et produits","2017","95"
"Nouveaux Bilans Alimentaire","Afghanistan","Importations - Quantité","Orge et produits","2017","15"
"Nouveaux Bilans Alimentaire","Afghanistan","Variation de stock","Orge et produits","2017","-30"
"Nouveaux Bilans Alimentaire","Afghanistan","Exportations - Quantité","Orge et produits","2017","0"
"Nouveaux Bilans Alimentaire","Afghanistan","Disponibilité intérieure","Orge et produits","2017","140"
"Nouveaux Bilans Alimentaire","Afghanistan","Aliments pour animaux","Orge et produits","2017","67"
"Nouveaux Bilans Alimentaire","Afghanistan","Semences","Orge et produits","2017","11"
"Nouveaux Bilans Alimentaire","Afghanistan","Pertes","Orge et produits","2017","14"
"Nouveaux Bilans Alimentaire","Afghanistan","Nourriture","Orge et produits","2017","48"
"Nouveaux Bilans Alimentaire","Afghanistan","Disponibilité alimentaire en quantité (kg/personne/an)","Orge et produits","2017","1.33"
"Nouveaux Bilans Alimentaire","Afghanistan","Disponibilité alimentaire (Kcal/personne/jour)","Orge et produits","2017","12"
"Nouveaux Bilans Alimentaire","Afghanistan","Disponibilité de protéines en quantité (g/personne/jour)","Orge et produits","2017","0.36"
"Nouveaux Bilans Alimentaire","Afghanistan","Disponibilité de matière grasse en quantité (g/personne/jour)","Orge et produits","2017","0.11"
"Nouveaux Bilans Alimentaire","Afghanistan","Production","Maïs et produits","2017","174"
"Nouveaux Bilans Alimentaire","Afghanistan","Importations - Quantité","Maïs et produits","2017","40"
"Nouveaux Bilans Alimentaire","Afghanistan","Variation de stock","Maïs et produits","2017","1"
"Nouveaux Bilans Alimentaire","Afghanistan","Exportations - Quantité","Maïs et produits","2017","0"
"Nouveaux Bilans Alimentaire","Afghanistan","Disponibilité intérieure","Maïs et produits","2017","213"
"Nouveaux Bilans Alimentaire","Afghanistan","Aliments pour animaux","Maïs et produits","2017","111"
"Nouveaux Bilans Alimentaire","Afghanistan","Semences","Maïs et produits","2017","21"
"Nouveaux Bilans Alimentaire","Afghanistan","Pertes","Maïs et produits","2017","26"
"Nouveaux Bilans Alimentaire","Afghanistan","Nourriture","Maïs et produits","2017","49"
"Nouveaux Bilans Alimentaire","Afghanistan","Disponibilité alimentaire en quantité (kg/personne/an)","Maïs et produits","2017","1.34"
"Nouveaux Bilans Alimentaire","Afghanistan","Disponibilité alimentaire (Kcal/personne/jour)","Maïs et produits","2017","11"
"Nouveaux Bilans Alimentaire","Afghanistan","Disponibilité de protéines en quantité (g/personne/jour)","Maïs et produits","2017","0.3"
"Nouveaux Bilans Alimentaire","Afghanistan","Disponibilité de matière grasse en quantité (g/personne/jour)","Maïs et produits","2017","0.16"
"Nouveaux Bilans Alimentaire","Afghanistan","Production","Seigle et produits","2017","0"
"Nouveaux Bilans Alimentaire","Afghanistan","Importations - Quantité","Seigle et produits","2017","0"
"Nouveaux Bilans Alimentaire","Afghanistan","Exportations - Quantité","Seigle et produits","2017","0"
"Nouveaux Bilans Alimentaire","Afghanistan","Disponibilité intérieure","Seigle et produits","2017","0"
"Nouveaux Bilans Alimentaire","Afghanistan","Aliments pour animaux","Seigle et produits","2017","0"
"Nouveaux Bilans Alimentaire","Afghanistan","Nourriture","Seigle et produits","2017","0"
"Nouveaux Bilans Alimentaire","Afghanistan","Disponibilité alimentaire en quantité (kg/personne/an)","Seigle et produits","2017","0"
"Nouveaux Bilans Alimentaire","Afghanistan","Production","Avoine","2017","0"
"Nouveaux Bilans Alimentaire","Afghanistan","Importations - Quantité","Avoine","2017","0"
"Nouveaux Bilans Alimentaire","Afghanistan","Exportations - Quantité","Avoine","2017","0"
"Nouveaux Bilans Alimentaire","Afghanistan","Disponibilité intérieure","Avoine","2017","0"
"Nouveaux Bilans Alimentaire","Afghanistan","Aliments pour animaux","Avoine","2017","0"
"Nouveaux Bilans Alimentaire","Afghanistan","Nourriture","Avoine","2017","0"
"Nouveaux Bilans Alimentaire","Afghanistan","Disponibilité alimentaire en quantité (kg/personne/an)","Avoine","2017","0"
"Nouveaux Bilans Alimentaire","Afghanistan","Disponibilité alimentaire (Kcal/personne/jour)","Avoine","2017","0"
"Nouveaux Bilans Alimentaire","Afghanistan","Disponibilité de protéines en quantité (g/personne/jour)","Avoine","2017","0"
"Nouveaux Bilans Alimentaire","Afghanistan","Disponibilité de matière grasse en quantité (g/personne/jour)","Avoine","2017","0"
"Nouveaux Bilans Alimentaire","Afghanistan","Production","Millet et produits","2017","12"
"Nouveaux Bilans Alimentaire","Afghanistan","Importations - Quantité","Millet et produits","2017","0"
"Nouveaux Bilans Alimentaire","Afghanistan","Variation de stock","Millet et produits","2017","0"
"Nouveaux Bilans Alimentaire","Afghanistan","Disponibilité intérieure","Millet et produits","2017","12"
"Nouveaux Bilans Alimentaire","Afghanistan","Aliments pour animaux","Millet et produits","2017","0"
"Nouveaux Bilans Alimentaire","Afghanistan","Semences","Millet et produits","2017","0"
"Nouveaux Bilans Alimentaire","Afghanistan","Pertes","Millet et produits","2017","1"
